productId,size,locationId,productType,furnishType,floorNumber,numberOfFloors,yearOfConstruction,numberOfRooms
08bf33a7-3225-4d2a-b066-7e46227c35e6,59.8,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,NULL,12,12,2021,2
4966db76-11aa-49d6-865d-86c1920d3741,59.04,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,UNFURNISHED,11,11,NULL,2
ce1067a8-50e0-4166-b2e0-f026340f5427,39.8,56bad621-fc55-40bb-89f9-f3bc1dd14abe,SEMI_DETACHED,UNFURNISHED,4,4,2020,2
60defab4-74c2-4ea1-8c60-eacf85d75726,64,b1af0bb2-7e73-424c-b317-12b2ef0923a2,DETACHED,NULL,3,3,2020,3
e06d339a-1ec6-4708-a5bf-a373479b9787,73,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,FURNISHED,4,4,2020,3
cd39ace0-d087-4ee9-b020-8f0b86020a9e,30,2376421b-0d80-458b-a666-fc83c56c9066,SEMI_DETACHED,FURNISHED,4,4,2021,1
6222eb22-154d-47ea-ba38-c091f80ff51b,65,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,FURNISHED,4,4,2020,2
6128e857-2bf3-4d11-a907-c4f7462b9136,54.5,2376421b-0d80-458b-a666-fc83c56c9066,DETACHED,NULL,3,3,2021,2
413c2b60-3c91-4042-a378-17842329b830,45,cc33fe64-3a31-481b-8f06-8cedca2d2617,DETACHED,NULL,3,3,2021,2
37cb582f-50ec-48fe-a66d-e3c0910aceef,41,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,FURNISHED,4,4,2020,1
de66d90c-130c-424f-af13-17aa8bca288d,64,cc33fe64-3a31-481b-8f06-8cedca2d2617,DETACHED,NULL,12,12,2021,2
672a3550-a91c-4d74-8581-98be281eb6a5,36.2,2376421b-0d80-458b-a666-fc83c56c9066,DETACHED,UNFURNISHED,4,4,2020,1
e25e212e-e761-42df-81e8-d0eaf840872c,39,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,NON_DETACHED,UNFURNISHED,9,9,2021,2
ad46bf11-a44e-4aa5-848a-c9ccc81fd43d,63.85,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,UNFURNISHED,11,11,2021,2
cb0122ef-d94e-4cf0-8d50-72f34adc4955,53,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,HOUSE,UNFURNISHED,6,6,2020,2
14d29e0f-988c-44be-a053-c623b2c2e6ba,48,2376421b-0d80-458b-a666-fc83c56c9066,DETACHED,NULL,3,3,2020,2
8c30267d-2b91-4683-8518-1397b7074d3c,37,2376421b-0d80-458b-a666-fc83c56c9066,HOUSE,NULL,3,3,2020,1
c90eddda-b68c-42c5-a8c2-4da18bc748d7,59,2376421b-0d80-458b-a666-fc83c56c9066,SEMI_DETACHED,NULL,3,3,2021,2
8db935ec-dc79-4a06-aadf-60d73e8df8de,50.5,2376421b-0d80-458b-a666-fc83c56c9066,DETACHED,NULL,3,3,2020,2
7e4671ed-cd73-4514-94a4-dc1ca883b0af,59,b1af0bb2-7e73-424c-b317-12b2ef0923a2,DETACHED,FURNISHED,4,4,2020,2
49a54d21-4e66-46a9-9503-6c6f34f149e1,53,04fcf964-9c4f-469c-9ce9-dee457fa9434,DETACHED,UNFURNISHED,3,3,2020,2
830d5dd8-9a3b-40dd-9b51-1baf720ba179,39.1,64b99b16-d8db-403f-9076-7bff8e170bae,DETACHED,NULL,13,13,2020,2
23964c16-6737-44aa-87ab-54c2f4c3e673,65,933e1840-0fd0-4fc7-83c4-6af598cada87,SEMI_DETACHED,NULL,6,6,2019,3
231b4133-b9ca-4d01-a137-f40c01bfe93c,43.07,56bad621-fc55-40bb-89f9-f3bc1dd14abe,HOUSE,UNFURNISHED,11,11,2022,2
654dcb70-1038-450d-8a20-decc9ecb0358,78,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,NULL,5,5,2019,3
5910328d-0bec-475c-add9-2fe42add1d01,61.22,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,NULL,5,5,2019,2
d5d5d3bf-508c-4b95-a41e-bee6c53f5ed1,53,933e1840-0fd0-4fc7-83c4-6af598cada87,DETACHED,NULL,4,4,2020,2
b9ce7998-f56f-4d74-b3d4-58d0a80d4b0d,60,cc33fe64-3a31-481b-8f06-8cedca2d2617,DETACHED,FURNISHED,8,8,2019,3
401dffc2-1c2c-42e2-959d-79691198dda1,46,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,NULL,3,3,2021,1
dd11c6d9-66b2-46b8-a6ba-530aedf4ef6a,35,2376421b-0d80-458b-a666-fc83c56c9066,DETACHED,NULL,3,3,2021,1
b4daac5e-d2e2-4907-9830-8f857f54090b,35,933e1840-0fd0-4fc7-83c4-6af598cada87,DETACHED,FURNISHED,4,4,2017,1
1815e3a6-ed27-48dc-afc6-9d95119606b3,62,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,UNFURNISHED,3,3,2021,2
ae7a3d93-69c6-43dc-a9ed-d4e209a234c4,46.96,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,DETACHED,FURNISHED,9,9,2020,1
2ed0eade-8cb7-479e-82e1-14d511ffbd1a,61.88,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,UNFURNISHED,10,10,NULL,2
4f855d81-2904-48c6-92a2-36a5f910bd0c,65.27,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,UNFURNISHED,11,11,NULL,2
1b66b463-82b0-458b-aa4d-da49c2493296,58,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,DETACHED,UNFURNISHED,8,8,2021,2
2171ce11-fa6e-44a9-9986-e62b4b1ba517,80,04fcf964-9c4f-469c-9ce9-dee457fa9434,SEMI_DETACHED,FURNISHED,2,2,2018,4
8f3051b5-2a40-4f6e-9c97-097c794c466a,61,3875bcd7-3eb6-4dae-9483-122bc88bef1b,DETACHED,NULL,3,3,2019,2
e1a77a8c-1eca-44b9-a31a-575751591751,73,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,FURNISHED,4,4,2021,2
faf14678-4989-4c89-b2bf-253909d7c42a,42,de8a872c-cff6-4767-b62a-ea1518b2487f,DETACHED,FURNISHED,3,3,1965,2
10daa17b-c672-43cc-b36c-8f30e32c28c3,103,64b99b16-d8db-403f-9076-7bff8e170bae,DETACHED,FURNISHED,13,13,2018,3
51522a25-2704-455e-8f32-dd16588d87ca,41.27,02313c71-0175-4e5d-a8a8-3bf7b3a21f21,DETACHED,NULL,8,8,2020,1
cbedcde3-1a45-4dea-a459-5c27f37f2fd8,43.9,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,UNFURNISHED,10,10,2022,2
5d4ca3bb-8927-47d4-a91a-987956db2f2d,53.55,56bad621-fc55-40bb-89f9-f3bc1dd14abe,HOUSE,UNFURNISHED,10,10,2020,2
33f84dac-d70d-4b82-80c1-96d14a4d291a,48,a6933596-c9a2-4de0-a394-074045d164f0,SEMI_DETACHED,FURNISHED,6,6,1960,2
b6e83ad9-7bc6-4a00-80dc-8929f4229d7c,65,b1af0bb2-7e73-424c-b317-12b2ef0923a2,DETACHED,NULL,6,6,2020,2
ea248953-cdea-4f3e-a89f-e7fd446f14e4,38.5,2376421b-0d80-458b-a666-fc83c56c9066,DETACHED,NULL,3,3,2020,1
962d1c09-5dbf-4212-9a57-b064f8d0cf88,39.5,b6ae948e-cf8e-4328-85b7-68bd0e998c78,SEMI_DETACHED,NULL,10,10,2022,2
0aa70cbd-62ee-4e0d-9a90-15f39238eda3,49.77,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,UNFURNISHED,10,10,NULL,2
c7f95b2c-5532-4e2e-abed-97de23b65d1b,41.55,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,SEMI_DETACHED,UNFURNISHED,9,9,2021,1
8c567422-1de0-40e0-8547-10f22e29907f,49.77,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,UNFURNISHED,6,6,2022,2
87be0a2d-472f-48fc-b385-97f8dcb9326f,42,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,DETACHED,FURNISHED,4,4,1974,2
14513807-f1bd-4ba8-a1b9-7c949cd56cae,48,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,DETACHED,NULL,4,4,1982,2
fdf1f440-e794-4656-b250-05b9c143337f,34,6700a669-98fa-41cb-8ff3-685b68e199ee,DETACHED,NULL,3,3,2020,1
ac3b5cd9-11ce-46a7-b5e0-d897a6fb5d5a,57,de8a872c-cff6-4767-b62a-ea1518b2487f,DETACHED,NULL,4,4,2020,2
12834270-38ab-4e4f-82b9-3f3e402a633b,32,de8a872c-cff6-4767-b62a-ea1518b2487f,DETACHED,NULL,4,4,2020,1
d17dca62-6ff1-4e09-bbbf-98e285a7d616,47,2376421b-0d80-458b-a666-fc83c56c9066,SEMI_DETACHED,FURNISHED,NULL,NULL,NULL,2
a9d5bff7-a6f7-4a8d-99c0-12036056162a,91,2376421b-0d80-458b-a666-fc83c56c9066,SEMI_DETACHED,FURNISHED,3,3,2019,3
f87da8bc-0717-400d-98d4-84773c704f4b,91,2376421b-0d80-458b-a666-fc83c56c9066,DETACHED,UNFURNISHED,1,1,2021,3
cefdc797-5cb7-4509-a1f7-d80c0415bdaf,57,933e1840-0fd0-4fc7-83c4-6af598cada87,DETACHED,FURNISHED,6,6,2020,2
3181fb48-4aac-4096-806f-c6d12799335a,54,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,DETACHED,NULL,4,4,1970,2
764018be-208f-4416-a791-c4f8d26eb3d9,42,04fcf964-9c4f-469c-9ce9-dee457fa9434,DETACHED,UNFURNISHED,3,3,2021,1
d2aeae24-a633-43f8-926c-61bdefff072f,67,933e1840-0fd0-4fc7-83c4-6af598cada87,SEMI_DETACHED,UNFURNISHED,6,6,2020,3
4da79eb0-9bc4-4a99-b98c-592dc22c6dc8,80,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,DETACHED,FURNISHED,4,4,1975,4
c98bd27a-2f62-474f-aeb9-cfe26d537746,90.44,02313c71-0175-4e5d-a8a8-3bf7b3a21f21,DETACHED,UNFURNISHED,8,8,2020,3
8515c762-d2d4-46a0-b940-1725fb440ead,86,04fcf964-9c4f-469c-9ce9-dee457fa9434,DETACHED,FURNISHED,4,4,2018,3
456891e7-f9fb-4a15-8d75-e5cd21199d05,54,3875bcd7-3eb6-4dae-9483-122bc88bef1b,DETACHED,NULL,4,4,2020,2
948cf99d-2be2-46a2-b41e-bf88fbad74c4,60,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,DETACHED,FURNISHED,NULL,NULL,1970,3
19ff45a7-8160-44f6-b9b9-ab91426aa2ff,60,3875bcd7-3eb6-4dae-9483-122bc88bef1b,DETACHED,UNFURNISHED,4,4,2021,2
35ecbefa-9b75-42bd-a797-fd330a74dc35,60,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,UNFURNISHED,10,10,2020,2
ab6dadf4-5483-4e5e-8cde-75277b83ac9e,83.45,2376421b-0d80-458b-a666-fc83c56c9066,DETACHED,UNFURNISHED,5,5,2021,3
62541b00-31d2-44c1-978f-69b4131a714f,63.25,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,DETACHED,UNFURNISHED,9,9,2021,2
725da844-071c-46b1-b48a-1a990b8cd1c3,57.47,02313c71-0175-4e5d-a8a8-3bf7b3a21f21,DETACHED,UNFURNISHED,8,8,2020,2
dc099e28-6570-4ecb-9bf5-8d38919867cd,42.64,56bad621-fc55-40bb-89f9-f3bc1dd14abe,SEMI_DETACHED,NULL,3,3,2020,1
3c706098-c6c9-4dcb-b31d-019cae8f3f28,45,6700a669-98fa-41cb-8ff3-685b68e199ee,DETACHED,NULL,3,3,2020,2
8981dc0e-d406-49bf-9608-b43219dd73ed,41.5,2376421b-0d80-458b-a666-fc83c56c9066,STUDIO,NULL,3,3,2020,2
96376848-ce31-41dc-94d8-d165acdfdae1,49,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,SEMI_DETACHED,FURNISHED,8,8,2014,2
30e04cd3-3ed9-41a4-b9d2-9f5ce2c22cc2,58,933e1840-0fd0-4fc7-83c4-6af598cada87,DETACHED,NULL,6,6,2020,2
0302d35d-d72f-4f07-b6f6-4383003232f9,62,0e5b33ab-d6d0-4f33-931f-38785fe3c392,DETACHED,FURNISHED,4,4,1983,3
13f7d12e-1cf4-402f-9c24-61145a8fab8f,55,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,DETACHED,UNFURNISHED,12,12,2021,2
dae27563-2813-4abc-bf1b-8614d84f375e,39,cc33fe64-3a31-481b-8f06-8cedca2d2617,DETACHED,NULL,12,12,2021,1
f11f73d8-3a3e-4c50-8818-5412fe2fc231,48,32a28854-165e-448f-aaed-e95fa23eb9c4,SEMI_DETACHED,UNFURNISHED,7,7,1960,2
9940dc24-5074-4ba9-902e-44fa14b4b742,53,1b0b53a1-c35d-454c-8142-de60b5ab102a,SEMI_DETACHED,NULL,4,4,1968,2
e7cfd9e1-96e7-4b1d-88da-6b3b208e912a,42,1b0b53a1-c35d-454c-8142-de60b5ab102a,DETACHED,UNFURNISHED,4,4,NULL,2
18aecc68-e3d1-4f20-a2b3-51656c536bf2,52,1b0b53a1-c35d-454c-8142-de60b5ab102a,SEMI_DETACHED,UNFURNISHED,4,4,1977,3
4be771e0-ce36-461f-a207-259db05aa52e,82,de8a872c-cff6-4767-b62a-ea1518b2487f,DETACHED,NULL,8,8,1978,3
6b08045e-7a47-41b3-8ad6-afdc725a3d44,48,cc33fe64-3a31-481b-8f06-8cedca2d2617,DETACHED,FURNISHED,NULL,NULL,1988,2
5be55fbd-cfb8-4da8-927a-5615bfda5d8f,72,c579ae1d-1949-4e99-b6ad-f020f303d484,DETACHED,UNFURNISHED,8,8,1985,3
53fac253-50c4-4c6e-8e3b-8b3dae15d9e7,52,2376421b-0d80-458b-a666-fc83c56c9066,DETACHED,FURNISHED,5,5,2008,2
dda357bc-5a73-4e08-a18a-b03233291695,110,2376421b-0d80-458b-a666-fc83c56c9066,DETACHED,UNFURNISHED,5,5,2020,4
69e63be0-2c3e-4234-8801-6c49417d509c,36.25,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,NULL,2,2,2020,2
0b3d3cd8-1d63-45b9-9974-b97d0bef6c4e,76,933e1840-0fd0-4fc7-83c4-6af598cada87,DETACHED,UNFURNISHED,NULL,NULL,2020,3
428fe4d4-8926-4ba2-8ca8-ea20d352150a,55.6,56bad621-fc55-40bb-89f9-f3bc1dd14abe,HOUSE,FURNISHED,NULL,NULL,2020,2
56ab1da0-ab31-4636-afda-19f128149712,82,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,SEMI_DETACHED,NULL,NULL,NULL,1971,4
e45b7f38-3483-4f8f-9d34-5eb8f2af19d5,62,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,STUDIO,FURNISHED,NULL,NULL,1969,3
289ba06a-d37b-401f-a040-56c59f27870d,60,1b0b53a1-c35d-454c-8142-de60b5ab102a,SEMI_DETACHED,FURNISHED,4,4,1964,3
20a0fde7-f979-4046-9f0d-bb7485652080,54,1876a9f6-cbfb-4efc-810f-fa0ccb4ac229,DETACHED,FURNISHED,3,3,1983,2
a54cc299-d744-4a89-be13-9445e126832a,68.15,04fcf964-9c4f-469c-9ce9-dee457fa9434,DETACHED,UNFURNISHED,5,5,2021,3
32aa9a6b-b6ef-422e-8bac-0f673f8d2148,77,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,DETACHED,UNFURNISHED,9,9,2021,2
7cc1cb91-ca3f-4a5c-9aeb-78e0ea39ec33,37.68,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,NULL,4,4,2020,1
be3f7d50-0300-4e4e-8615-e91622f2aab5,55.55,cc33fe64-3a31-481b-8f06-8cedca2d2617,HOUSE,FURNISHED,NULL,NULL,1984,2
a8645922-8aae-4ffc-9a5c-8ab86833d119,51,933e1840-0fd0-4fc7-83c4-6af598cada87,DETACHED,NULL,11,11,2020,2
7f7393c8-1998-4164-be04-8992bff029d0,154.84,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,UNFURNISHED,9,9,2019,3
2e3e4bca-93ec-44ba-adae-d2e77acf18c9,33,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,NON_DETACHED,FURNISHED,4,4,1970,2
6a029e72-d36e-4ab8-bb02-7dc91f1e98ff,47,1876a9f6-cbfb-4efc-810f-fa0ccb4ac229,DETACHED,NULL,4,4,1980,2
090dd6bb-142c-419c-8e48-813155f77862,48,933e1840-0fd0-4fc7-83c4-6af598cada87,DETACHED,NULL,6,6,2019,2
cd1b53ab-97ce-48f6-99fd-40a754e03ddc,35,32a28854-165e-448f-aaed-e95fa23eb9c4,SEMI_DETACHED,FURNISHED,3,3,2017,2
9058b733-c8d4-459b-8799-6e37ef12530a,55,2376421b-0d80-458b-a666-fc83c56c9066,DETACHED,UNFURNISHED,3,3,2021,2
8d1aebb1-7aa0-478f-9dce-81bd0f6eefcc,64,b6ae948e-cf8e-4328-85b7-68bd0e998c78,SEMI_DETACHED,NULL,4,4,1970,3
8d49a8ba-837e-42e1-b3a7-05633328924e,80,1b0b53a1-c35d-454c-8142-de60b5ab102a,DETACHED,FURNISHED,10,10,1977,3
51df8f89-c538-45d0-bd5f-8aa70870f5a8,49.8,56bad621-fc55-40bb-89f9-f3bc1dd14abe,SEMI_DETACHED,NULL,10,10,2020,2
bc2e727a-ce1a-4424-b5e3-5cc795a7156e,52.8,32a28854-165e-448f-aaed-e95fa23eb9c4,SEMI_DETACHED,UNFURNISHED,10,10,2021,3
55bedf02-f8cd-4bea-ad2d-4e1871f09034,35.15,32a28854-165e-448f-aaed-e95fa23eb9c4,SEMI_DETACHED,UNFURNISHED,11,11,2021,2
59559514-9cad-4b26-9838-ed6afe996c11,67,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,SEMI_DETACHED,FURNISHED,4,4,1970,3
649e0d0e-131a-4655-a09a-1f5ba4ea811a,85,04fcf964-9c4f-469c-9ce9-dee457fa9434,SEMI_DETACHED,NULL,1,1,2020,3
e9b1144d-c128-46ea-9e77-bfaa0173720b,45.05,32a28854-165e-448f-aaed-e95fa23eb9c4,DETACHED,UNFURNISHED,10,10,2020,2
f8d9123a-317b-43e2-8de0-8e001deb21e9,43.5,2376421b-0d80-458b-a666-fc83c56c9066,SEMI_DETACHED,NULL,3,3,2021,2
b919f3c5-1cc9-4ee8-b69f-6980bc9d3776,70,2376421b-0d80-458b-a666-fc83c56c9066,DETACHED,UNFURNISHED,3,3,2020,3
4d438724-5f77-4d0a-a814-b09bcdabbe44,93.45,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,SEMI_DETACHED,UNFURNISHED,9,9,2021,3
b86f4f17-5288-4b47-9bba-27f869fcdf75,59,cc33fe64-3a31-481b-8f06-8cedca2d2617,DETACHED,NULL,7,7,2020,2
37c4069a-01b9-4b1d-b623-0d04013fcd6b,38,933e1840-0fd0-4fc7-83c4-6af598cada87,DETACHED,UNFURNISHED,3,3,2020,2
3ca4262e-19df-4f3f-9515-351695d6db4c,48,1b0b53a1-c35d-454c-8142-de60b5ab102a,SEMI_DETACHED,FURNISHED,4,4,1977,2
2ca913a5-a6e4-4952-9206-024e251f61e0,40.05,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,DETACHED,UNFURNISHED,3,3,2021,1
ff98ba13-fed6-421e-848a-3ce1e5fc7950,50,933e1840-0fd0-4fc7-83c4-6af598cada87,DETACHED,UNFURNISHED,11,11,2020,1
5abe398c-e025-48fb-9996-1ea2010c4241,134,64b99b16-d8db-403f-9076-7bff8e170bae,DETACHED,NULL,13,13,2018,4
84e64d0e-2bcf-4614-9bb4-3668ebf04ea5,40,b2289cba-2303-49c4-be84-49b0d112efb3,NON_DETACHED,FURNISHED,4,4,1971,2
e1553b96-c37b-4b0c-9b44-f4e847d340a8,41,64b99b16-d8db-403f-9076-7bff8e170bae,DETACHED,NULL,13,13,2020,1
ab7ffeab-a9f6-4206-b50a-87bf1594e861,140,de8a872c-cff6-4767-b62a-ea1518b2487f,DETACHED,FURNISHED,3,3,2003,5
6e7488ce-bded-4280-b818-dfecdb18b517,72,cc33fe64-3a31-481b-8f06-8cedca2d2617,DETACHED,FURNISHED,5,5,1984,3
025a88bf-5d71-499a-b2bb-dfabd2da6f8a,34,933e1840-0fd0-4fc7-83c4-6af598cada87,DETACHED,NULL,2,2,2020,1
ad6625fa-24ba-4983-a390-0a63df99be91,32,2376421b-0d80-458b-a666-fc83c56c9066,DETACHED,UNFURNISHED,4,4,2010,1
1049a140-ca11-48e5-90e0-c3b79aef8268,38,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,NON_DETACHED,NULL,10,10,NULL,2
de63599c-ed15-4e64-8301-b6aa8364e31d,26,32a28854-165e-448f-aaed-e95fa23eb9c4,SEMI_DETACHED,FURNISHED,3,3,1990,1
541e68ee-007e-4094-bdfa-3aa61c6f4e98,40,1b0b53a1-c35d-454c-8142-de60b5ab102a,SEMI_DETACHED,FURNISHED,4,4,1977,2
28303aad-db77-4c1d-ba7a-c5e3e19215d6,54,1b0b53a1-c35d-454c-8142-de60b5ab102a,SEMI_DETACHED,NULL,4,4,NULL,2
e4a74740-7a75-4808-a553-df69171af33f,77,2376421b-0d80-458b-a666-fc83c56c9066,DETACHED,UNFURNISHED,3,3,2020,3
fa799e56-179f-49fa-a185-db2ce3e69b9b,42,2376421b-0d80-458b-a666-fc83c56c9066,SEMI_DETACHED,UNFURNISHED,3,3,2020,2
a7e766cf-93e9-4819-bb93-e60f9daf460b,49,1b0b53a1-c35d-454c-8142-de60b5ab102a,DETACHED,NULL,3,3,2020,1
66b0ce97-690a-4ae7-acdc-882c5a119c81,60,04fcf964-9c4f-469c-9ce9-dee457fa9434,DETACHED,NULL,4,4,2020,2
9b04c16b-2810-4fd0-8ae6-e9106c57b42a,40,933e1840-0fd0-4fc7-83c4-6af598cada87,DETACHED,UNFURNISHED,4,4,2020,1
f33eeb57-abb5-4598-a4a9-ee271acd6146,50,933e1840-0fd0-4fc7-83c4-6af598cada87,DETACHED,NULL,11,11,2020,2
a391314c-c6ad-4d01-822a-144551f34553,54,2376421b-0d80-458b-a666-fc83c56c9066,DETACHED,FURNISHED,10,10,NULL,3
bb8f2853-8ef2-4958-9957-3296ec151e0c,68,1876a9f6-cbfb-4efc-810f-fa0ccb4ac229,DETACHED,FURNISHED,4,4,1982,3
7cc74788-1b12-43fd-aebe-365eb097879c,39,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,SEMI_DETACHED,UNFURNISHED,9,9,2021,2
4b06b9de-ae1b-4883-86bf-cbe955697826,58,d9e27a7d-0590-4dec-9256-0c3f0fdb59d5,DETACHED,NULL,4,4,1983,2
5d55f0d4-e9ad-442a-a9cd-8c63cb9486a1,48,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,UNFURNISHED,5,5,2018,2
8e6fbdb6-c5e6-4671-b126-74ea51297115,63,b1af0bb2-7e73-424c-b317-12b2ef0923a2,DETACHED,FURNISHED,4,4,1980,3
2a7fd781-348e-4f64-bddf-69fa17b7cc9a,41.05,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,SEMI_DETACHED,UNFURNISHED,9,9,2021,2
36495d95-a456-4fca-9f0f-132290983659,142,de8a872c-cff6-4767-b62a-ea1518b2487f,DETACHED,NULL,1,1,2015,4
1b1cca75-5067-4e15-aee4-0ca37c7487a5,53,933e1840-0fd0-4fc7-83c4-6af598cada87,DETACHED,NULL,6,6,2019,2
d09bdfbf-e74e-4740-8cc9-3257bace7cca,71,b1af0bb2-7e73-424c-b317-12b2ef0923a2,DETACHED,UNFURNISHED,4,4,1981,3
615f9b60-e45e-4a92-8a8e-1ecc5a829217,48,04fcf964-9c4f-469c-9ce9-dee457fa9434,DETACHED,NULL,4,4,2020,2
63f08d52-8ac0-4d74-96e7-343478f52074,48,1876a9f6-cbfb-4efc-810f-fa0ccb4ac229,DETACHED,FURNISHED,4,4,1980,2
410c98a8-f343-4589-bcd0-56be3c6967b7,59,cc33fe64-3a31-481b-8f06-8cedca2d2617,DETACHED,FURNISHED,3,3,2020,2
7535dc58-3f54-47a0-aa06-c3f107cb7fe1,75,cc33fe64-3a31-481b-8f06-8cedca2d2617,DETACHED,FURNISHED,4,4,1983,3
0fd7aa13-ce9c-4a6c-8d2d-8afea0a80893,33,933e1840-0fd0-4fc7-83c4-6af598cada87,DETACHED,FURNISHED,3,3,2018,1
58c27484-4237-4161-ae44-4e7257dd1c55,53,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,DETACHED,UNFURNISHED,8,8,2021,2
b6e6eea2-f614-4e5b-9551-ed45e1911eaa,54,933e1840-0fd0-4fc7-83c4-6af598cada87,DETACHED,FURNISHED,6,6,2020,2
2161f6d6-e677-42d1-b303-099884ad210e,69.1,de8a872c-cff6-4767-b62a-ea1518b2487f,DETACHED,FURNISHED,4,4,1982,3
